name,link,City,State,Country
Tim Finchem,https://www.worldgolfhalloffame.org/tim-finchem/,Ottawa,Illinois,United States
Marion Hollins,https://www.worldgolfhalloffame.org/marion-hollins/,East Islip,New York,United States
Susie Maxwell Berning,https://www.worldgolfhalloffame.org/susie-maxwell-berning/,Pasadena,California,United States
Tiger Woods,https://www.worldgolfhalloffame.org/tiger-woods/,Cypress,California,United States
Peggy Kirk Bell,https://www.worldgolfhalloffame.org/peggy-kirk-bell/,Findlay,Ohio,United States
Retief Goosen,https://www.worldgolfhalloffame.org/retief-goosen/,Pietersburg,,South Africa
Billy Payne,https://www.worldgolfhalloffame.org/billy-payne/,Athens,Georgia,United States
Jan Stephenson,https://www.worldgolfhalloffame.org/jan-stephenson/,Sydney,,Australia
Dennis Walters,https://www.worldgolfhalloffame.org/dennis-walters/,Neptune Township,NJ,United States
Henry Longhurst,https://www.worldgolfhalloffame.org/henry-longhurst/,Bedford,,United Kingdom
Davis Love III,https://www.worldgolfhalloffame.org/davis-love-iii/,Charlotte,North Carolina,United States
Meg Mallon,https://www.worldgolfhalloffame.org/meg-mallon/,Natick,Massachusetts,United States
Lorena Ochoa Reyes,https://www.worldgolfhalloffame.org/lorena-ochoa/,Guadalajara,,Mexico
Ian Woosnam,https://www.worldgolfhalloffame.org/ian-woosnam/,Oswestry,,England
Dame Laura Davies,https://www.worldgolfhalloffame.org/laura-davies/,Coventry,,United Kingdom
David Graham,https://www.worldgolfhalloffame.org/david-graham/,Windsor,,Australia
Mark O'Meara,https://www.worldgolfhalloffame.org/mark-omeara/,Goldsboro,North Carolina,United States
A.W. Tillinghast,https://www.worldgolfhalloffame.org/a-w-tillinghast/,Philadelphia,Pennsylvania,United States
Fred Couples,https://www.worldgolfhalloffame.org/fred-couples/,Seattle,Washington,United States
Colin Montgomerie,https://www.worldgolfhalloffame.org/colin-montgomerie/,Glasgow,,Scotland
Willie Park Jr.,https://www.worldgolfhalloffame.org/willie-park-jr/,Musselburgh,,Scotland
Ken Schofield,https://www.worldgolfhalloffame.org/ken-schofield/,Perthshire,,Scotland
Ken Venturi,https://www.worldgolfhalloffame.org/ken-venturi/,San Francisco,California,United States
Peter Alliss,https://www.worldgolfhalloffame.org/peter-alliss/,Berlin,,Germany
Dan Jenkins,https://www.worldgolfhalloffame.org/dan-jenkins/,Fort Worth,Texas,United States
Sandy Lyle,https://www.worldgolfhalloffame.org/sandy-lyle/,Shrewsbury,Pennsylvania,United States
Phil Mickelson,https://www.worldgolfhalloffame.org/phil-mickelson/,San Diego,California,United States
Hollis Stacy,https://www.worldgolfhalloffame.org/hollis-stacy/,Savannah,Georgia,United States
George H.W. Bush,https://www.worldgolfhalloffame.org/george-h-w-bush/,Milton,Massachusetts,United States
Frank Chirkinian,https://www.worldgolfhalloffame.org/frank-chirkinian/,Philidelphia,Pennsylvania,United States
Ernie Els,https://www.worldgolfhalloffame.org/ernie-els/,Johannesburg,,South Africa
Doug Ford,https://www.worldgolfhalloffame.org/doug-ford/,West Haven,Connecticut,United States
Jock Hutchison,https://www.worldgolfhalloffame.org/jock-hutchison/,St Andrew's,,Scotland
Masashi ,https://www.worldgolfhalloffame.org/masashi-ozaki/,Tokushima,,Japan
Dwight D. Eisenhower,https://www.worldgolfhalloffame.org/dwight-d-eisenhower/,Denison,Texas,United States
Christy O'Connor,https://www.worldgolfhalloffame.org/christy-oconnor/,Knocknacarra,,Ireland
Jose Maria Olazabal,https://www.worldgolfhalloffame.org/jose-maria-olazabal/,Fuenterrabia,,Spain
Lanny Wadkins,https://www.worldgolfhalloffame.org/lanny-wadkins/,Richmond,Virginia,United States
Sir Bob Charles,https://www.worldgolfhalloffame.org/sir-bob-charles/,Carterton,,New Zeland
Pete Dye,https://www.worldgolfhalloffame.org/pete-dye/,Urbana,Ohio,United States
Denny Shute,https://www.worldgolfhalloffame.org/denny-shute/,Cleveland,Ohio,United States
Carol Semple Thompson,https://www.worldgolfhalloffame.org/carol-semple-thompson/,Sewickley,Pennsylvania,United States
Herbert Warren Wind,https://www.worldgolfhalloffame.org/herbert-warren-wind/,Brockton,Massachusetts,United States
Craig Wood,https://www.worldgolfhalloffame.org/craig-wood/,Lake Placid,New York,United States
Joe Carr,https://www.worldgolfhalloffame.org/joe-carr/,Inchicore,,Ireland
Hubert Green,https://www.worldgolfhalloffame.org/hubert-green/,Birmingham,Alabama,United States
Charles Blair Macdonald,https://www.worldgolfhalloffame.org/charles-blair-macdonald/,Niagara Falls,Ontario,Canada
Kel Nagle,https://www.worldgolfhalloffame.org/kel-nagle/,North Sydney,,Australia
Se Ri Pak,https://www.worldgolfhalloffame.org/se-ri-pak/,Daejeon,,South Korea
Curtis Strange,https://www.worldgolfhalloffame.org/curtis-strange/,Norfolk,Virginia,United States
Mark McCormack,https://www.worldgolfhalloffame.org/mark-mccormack/,Chicago,Illinois,United States
Larry Nelson,https://www.worldgolfhalloffame.org/larry-nelson/,Fort Payne,Alabama,United States
Henry Picard,https://www.worldgolfhalloffame.org/henry-picard/,Plymouth,Massachusetts,United States
Vijay Singh,https://www.worldgolfhalloffame.org/vijay-singh/,Lautoka,,Fiji
Marilynn Smith,https://www.worldgolfhalloffame.org/marilynn-smith/,Springfield,Missouri,United States
Bernard Darwin,https://www.worldgolfhalloffame.org/bernard-darwin/,Downe,,England
Alister MacKenzie,https://www.worldgolfhalloffame.org/alister-mackenzie/,Normantown,West Yorksire,England
Ayako Okamoto,https://www.worldgolfhalloffame.org/ayako-okamoto/,Hiroshima,,Japan
Willie Park Sr.,https://www.worldgolfhalloffame.org/willie-park-sr/,Wallyford,,Scotland
Karrie Webb,https://www.worldgolfhalloffame.org/karrie-webb/,Queensland,,Australia
Isao Aoki,https://www.worldgolfhalloffame.org/isao-aoki/,Abiko,Chiba,Japan
Tom Kite,https://www.worldgolfhalloffame.org/tom-kite/,Austin,Texas,United States
Charlie Sifford,https://www.worldgolfhalloffame.org/charlie-sifford/,Charlotte,North Carolina,United States
Marlene Stewart Streit,https://www.worldgolfhalloffame.org/marlene-stewart-streit/,Cereal,Alberta,Canada
Leo Diegel,https://www.worldgolfhalloffame.org/leo-diegel/,Detroit,Michigan,United States
"Hisako ""Chako"" Higuchi",https://www.worldgolfhalloffame.org/hisako-higuchi/,Kawagoe City,,Japan
Nick Price,https://www.worldgolfhalloffame.org/nick-price/,Durban,,South Africa
Annika Sorenstam,https://www.worldgolfhalloffame.org/annika-sorenstam/,Stockholm,,Sweden
Tommy Bolt,https://www.worldgolfhalloffame.org/tommy-bolt/,Haworth,Oklahoma,United States
Ben Crenshaw,https://www.worldgolfhalloffame.org/ben-crenshaw/,Austin,Texas,United States
Marlene Bauer Hagge,https://www.worldgolfhalloffame.org/marlene-bauer-hagge/,Eureka,South Dakota,United States
Tony Jacklin,https://www.worldgolfhalloffame.org/tony-jacklin/,Scunthorpe,,England
Bernhard Langer,https://www.worldgolfhalloffame.org/bernhard-langer/,Anhausen,,Germany
Harvey Penick,https://www.worldgolfhalloffame.org/harvey-penick/,Austin,Texas,United States
Judy Bell,https://www.worldgolfhalloffame.org/judy-bell/,Wichita,Kansas,United States
Donna Caponi,https://www.worldgolfhalloffame.org/donna-caponi/,Detroit,Michigan,United States
Greg Norman,https://www.worldgolfhalloffame.org/greg-norman/,Queensland,,Australia
Allan Robertson,https://www.worldgolfhalloffame.org/allan-robertson/,St. Andrews,,Scotland
Karsten Solheim,https://www.worldgolfhalloffame.org/karsten-solheim/,Bergen,,Norway
Payne Stewart,https://www.worldgolfhalloffame.org/payne-stewart/,Springfield,,Missouri
Deane Beman,https://www.worldgolfhalloffame.org/deane-beman/,Washington,D.C.,United States
Sir Michael Bonallack,https://www.worldgolfhalloffame.org/sir-michael-bonallack/,Chigwell,Essex,England
Jack Burke Jr.,https://www.worldgolfhalloffame.org/jack-burke-jr/,Fort Worth,Texas,United States
Neil Coles,https://www.worldgolfhalloffame.org/neil-coles/,London,,England
Beth Daniel,https://www.worldgolfhalloffame.org/beth-daniel/,Charleston,South Carolina,United States
Juli Inkster,https://www.worldgolfhalloffame.org/juli-inkster/,Santa Cruz,California,United States
John Jacobs,https://www.worldgolfhalloffame.org/john-jacobs/,Lindrick,Yorkshire,England
Judy Rankin,https://www.worldgolfhalloffame.org/judy-rankin/,St. Louis,Missouri,United States
Amy Alcott,https://www.worldgolfhalloffame.org/amy-alcott/,Kansas City,Missouri,United States
Seve Ballesteros,https://www.worldgolfhalloffame.org/seve-ballesteros/,Pedreña,,Spain
Lloyd Mangrum,https://www.worldgolfhalloffame.org/lloyd-mangrum/,Trenton,Texas,United States
Sir Nick Faldo,https://www.worldgolfhalloffame.org/sir-nick-faldo/,Welwyn Garden,,England
Betty Jameson,https://www.worldgolfhalloffame.org/betty-jameson/,Norman,Oklahoma,United States
Johnny Miller,https://www.worldgolfhalloffame.org/johnny-miller/,San Francisco,California,United States
Betsy King,https://www.worldgolfhalloffame.org/betsy-king/,Reading,Pennsylvania,United States
Dinah Shore,https://www.worldgolfhalloffame.org/dinah-shore/,Winchester,Tennessee,United States
Patty Sheehan,https://www.worldgolfhalloffame.org/patty-sheehan/,Middlebury,Vermont,United States
Harry Cooper,https://www.worldgolfhalloffame.org/harry-cooper/,Leatherhead,,England
Hale Irwin,https://www.worldgolfhalloffame.org/hale-irwin/,Baxter Springs,Kansas,United States
Chi Chi Rodriguez,https://www.worldgolfhalloffame.org/chi-chi-rodriguez/,Rio Piedras,,Puerto Rico
Richard Tufts,https://www.worldgolfhalloffame.org/richard-tufts/,Medford,Massachusetts,United States
Pat Bradley,https://www.worldgolfhalloffame.org/pat-bradley/,Westford,Massachusetts,United States
William Campbell,https://www.worldgolfhalloffame.org/william-campbell/,Huntington,West Virginia,United States
Gene Littler,https://www.worldgolfhalloffame.org/gene-littler/,San Diego,California,United States
Paul Runyan,https://www.worldgolfhalloffame.org/paul-runyan/,Hot Springs,Arkansas,United States
Horton Smith,https://www.worldgolfhalloffame.org/horton-smith/,Springfield,Missouri,United States
Jim Barnes,https://www.worldgolfhalloffame.org/jim-barnes/,Lelant,Cornwall,England
Roberto De Vicenzo,https://www.worldgolfhalloffame.org/roberto-de-vicenzo/,Buenos Aires,,Argentina
Raymond Floyd,https://www.worldgolfhalloffame.org/ray-floyd/,Fort Bragg,North Carolinaa,United States
Bob Harlow,https://www.worldgolfhalloffame.org/bob-harlow/,Newburyport,Massachusetts,United States
Peter Thomson,https://www.worldgolfhalloffame.org/peter-thomson/,Melbourne,,Australia
Tom Watson,https://www.worldgolfhalloffame.org/tom-watson/,Kansas City,Missouri,United States
Robert Trent Jones Sr.,https://www.worldgolfhalloffame.org/robert-trent-jones-sr/,Ince,Lancashire,United Kingdom
Nancy Lopez,https://www.worldgolfhalloffame.org/nancy-lopez/,Torrance,California,United States
Betsy Rawls,https://www.worldgolfhalloffame.org/betsy-rawls/,Spartanburg,South Carolina,United States
Cary Middlecoff,https://www.worldgolfhalloffame.org/cary-middlecoff/,Halls,Tennessee,United States
Jimmy Demaret,https://www.worldgolfhalloffame.org/jimmy-demaret/,Houston,Texas,United States
Bob Hope,https://www.worldgolfhalloffame.org/bob-hope/,Eltham,,England
Julius Boros,https://www.worldgolfhalloffame.org/julius-boros/,Fairfield,Connecticut,United States
Joanne Carner,https://www.worldgolfhalloffame.org/joanne-carner/,Kirkland,Washington,United States
