City,State,Country
Ottawa,Illinois,United States
East Islip,New York,United States
Pasadena,California,United States
Cypress,California,United States
Findlay,Ohio,United States
Pietersburg,,South Africa
Athens,Georgia,United States
Sydney,,Australia
Neptune Township,NJ,United States
Bedford,,United Kingdom
Charlotte,North Carolina,United States
Natick,Massachusetts,United States
Guadalajara,,Mexico
Oswestry,,England
Coventry,,United Kingdom
Windsor,,Australia
Goldsboro,North Carolina,United States
Philadelphia,Pennsylvania,United States
Seattle,Washington,United States
Glasgow,,Scotland
Musselburgh,,Scotland
Perthshire,,Scotland
San Francisco,California,United States
Fort Worth,Texas,United States
Shrewsbury,Pennsylvania,United States
San Diego,California,United States
Savannah,Georgia,United States
Milton,Massachusetts,United States
Philidelphia,Pennsylvania,United States
Johannesburg,,United States
West Haven,Connecticut,United States
St Andrew's,Scotland,United States
Tokushima,,Japan
Denison,Texas,United States
Knocknacarra,,Ireland
Fuenterrabia,,Spain
Richmond,Virginia,United States
Carterton,,New Zeland
Urbana,Ohio,United States
Cleveland,Ohio,United States
Sewickley,Pennsylvania,United States
Brockton,Massachusetts,United States
Lake Placid,New York,United States
Inchicore,,Ireland
Birmingham,Alabama,United States
Niagara Falls,Ontario,Canada
North Sydney,,Australia
Daejeon,,South Korea
Norfolk,Virginia,United States
Chicago,Illinois,United States
Fort Payne,Alabama,United States
Plymouth,Massachusetts,United States
Lautoka,,Fiji
Springfield,Missouri,United States
Downe,,England
Normantown,West Yorksire,England
Hiroshima,,Japan
Wallyford,,Scotland
Queensland,,Australia
Abiko,Chiba,Japan
Austin,Texas,United States
Charlotte,North Carolina,United States
Cereal,Alberta,Canada
Detroit,Michigan,United States
Kawagoe City,,Japan
Stockholm,,Sweden
Haworth,Oklahoma,United States
Austin,Texas,United States
Eureka,South Dakota,United States
Scunthorpe,,England
Anhausen,,Germany
Austin,Texas,United States
Wichita,Kansas,United States
Detroit,Michigan,United States
Queensland,,Australia
St. Andrews,,Scotland
Bergen,,Norway
Springfield,,Missouri
Washington,D.C.,United States
Chigwell,Essex,England
Fort Worth,Texas,United States
London,,England
Charleston,South Carolina,United States
Santa Cruz,California,United States
Lindrick,Yorkshire,England
St. Louis,Missouri,United States
Kansas City,Missouri,United States
Pedreña,,Spain
Trenton,Texas,United States
Welwyn Garden,,England
Norman,Oklahoma,United States
San Francisco,California,United States
Reading,Pennsylvania,United States
Winchester,Tennessee,United States
Middlebury,Vermont,United States
Leatherhead,,England
Baxter Springs,Kansas,United States
Rio Piedras,,Puerto Rico
Medford,Massachusetts,United States
Westford,Massachusetts,United States
Huntington,West Virginia,United States
San Diego,California,United States
Hot Springs,Arkansas,United States
Springfield,Missouri,United States
Lelant,Cornwall,England
Buenos Aires,,Argentina
Fort Bragg,North Carolinaa,United States
Newburyport,Massachusetts,United States
Melbourne,,Australia
Kansas City,Missouri,United States
Ince,Lancashire,United Kingdom
Torrance,California,United States
Spartanburg,South Carolina,United States
Halls,Tennessee,United States
Houston,Texas,United States
Eltham,,England
Fairfield,Connecticut,United States
Kirkland,Washington,United States
Monohans,Texas,United States
Dallas,Texas,United States
Dallas,Texas,United States
Holmes Chapel,,England
Newport,Rhode Island,United States
Lithia Springs,Georgia,United States
Maldon,,England
Edinburgh,,Scotland
San Diego,California,United States
Tacoma,Washington,United States
West Kirby,,England
Morning Sun,Iowa,United States
Hoylake,,England
Logansport,Indiana,United States
Fort Worth,Texas,United States
Germinston,,South Africa
Buffalo,New York,United States
Dornoch,,Scotland
Edinburgh,,Scotland
Earlsferry,,Scotland
St Andrews,,Scotland
New York,New York,United States
San Diego,California,United States
North Berwick,,Scotland
Cambridge,Massachusetts,United States
Norfolk,Virginia,United States
Indianapolis,Indiana,United States
St Andrews,,Scotland
Northam,North Devon,England
New Haven,Connecticut,United States
Devon,,England
Minneapolis,Minnesota,United States
Rochester,New York,United States
Dublin,Texas,United States
Atlanta,Georgia,United States
Long Branch,Texas,United States
Columbus,Ohio,United States
Brookline,Massachusetts,United States
Latrobe,Pennsylvania,United States
Johannesburg,,South Africa
Harrison,New York,United States
Ashwood,Virginia,United States
Grouville,Island of Jersey,United Kingdom
Port Arthur,Texas,United States
